name;fuji velvia-like
description;fuji velvia-like colorchecker
num_gray;24
patch;L_source;a_source;b_source;L_reference;a_reference;b_reference
A01;20.775749206542969;6.8061056137084961;-5.3999958038330078;17.921772003173828;17.120733261108398;-13.85505199432373
A02;22.780704498291016;12.694626808166504;-3.6844074726104736;24.549453735351562;31.225412368774414;-6.9675979614257812
A03;24.087532043457031;18.070802688598633;-1.5526533126831055;29.798919677734375;41.96929931640625;0.83192586898803711
A04;24.585029602050781;19.065275192260742;-1.2446343898773193;31.458747863769531;43.901458740234375;1.5144944190979004
A05;35.698829650878906;10.494857788085938;-5.8166742324829102;48.229545593261719;19.75575065612793;-12.198459625244141
A06;35.780250549316406;20.670339584350586;-2.3683607578277588;49.883079528808594;36.688507080078125;-5.5634379386901855
A07;36.274265289306641;30.7916259765625;0.66480040550231934;52.347915649414062;50.622550964355469;0.37568807601928711
A08;36.823810577392578;44.450626373291016;4.3095769882202148;55.914787292480469;65.818992614746094;7.0850968360900879
A09;60.479873657226562;5.5965480804443359;-10.74988842010498;78.598060607910156;8.3430109024047852;-17.473077774047852
A10;60.610427856445312;10.437250137329102;-9.2138290405273438;79.063682556152344;15.450745582580566;-15.071654319763184
A11;60.732185363769531;16.0115966796875;-7.1536421775817871;79.445014953613281;23.917346954345703;-11.455559730529785
A12;60.881805419921875;21.460861206054688;-5.864405632019043;79.875389099121094;30.842214584350586;-9.3064193725585938
A13;80.457740783691406;-2.818763256072998;-14.464902877807617;97.003761291503906;-4.015505313873291;-4.5602560043334961
A14;79.231147766113281;2.3974776268005371;-15.869462966918945;96.486015319824219;-0.76025724411010742;-5.2621245384216309
A15;81.733711242675781;-1.285254955291748;-12.84681510925293;97.454368591308594;-2.2796094417572021;-3.8464784622192383
A16;80.678657531738281;-0.10192394256591797;-14.860021591186523;96.742637634277344;-1.5949606895446777;-4.89654541015625
A17;81.848335266113281;-0.6071925163269043;-12.679600715637207;96.819122314453125;-1.0976791381835938;-4.7707080841064453
A18;82.536659240722656;-1.4823973178863525;-12.846433639526367;97.275894165039062;-2.582848072052002;-4.1208624839782715
A19;79.195236206054688;-0.084400177001953125;-17.881656646728516;95.074913024902344;-3.003537654876709;-7.4301004409790039
A20;21.694610595703125;3.4493207931518555;-4.3106136322021484;18.274398803710938;9.6282062530517578;-11.785721778869629
A21;26.153244018554688;15.527352333068848;3.1816363334655762;30.802780151367188;37.430183410644531;12.823665618896484
A22;30.927646636962891;28.167680740356445;10.125249862670898;42.265708923339844;53.565261840820312;29.580093383789062
B01;19.657520294189453;5.3552389144897461;-2.5526523590087891;15.19462776184082;12.547418594360352;-5.5783629417419434
B02;22.277172088623047;9.4065961837768555;0.26468038558959961;22.279041290283203;24.463117599487305;3.8000226020812988
B03;23.808895111083984;13.508796691894531;2.8583228588104248;27.415824890136719;34.641040802001953;12.508702278137207
B04;24.306312561035156;14.489830017089844;3.3884942531585693;29.257686614990234;36.534996032714844;14.322954177856445
B05;35.844024658203125;10.342582702636719;0.81317424774169922;48.261482238769531;20.393341064453125;1.7396330833435059
B06;36.020599365234375;18.667741775512695;7.7499446868896484;49.864593505859375;33.806919097900391;17.923015594482422
B07;36.327869415283203;29.142379760742188;14.669209480285645;52.261749267578125;49.477397918701172;33.142055511474609
B08;37.014320373535156;40.745986938476562;20.638900756835938;55.710884094238281;63.107341766357422;43.303001403808594
B09;60.518379211425781;4.8305392265319824;-7.4638605117797852;78.741218566894531;7.1866216659545898;-11.380731582641602
B10;60.762916564941406;9.2229843139648438;-2.7441143989562988;79.007736206054688;14.010995864868164;-4.2144656181335449
B11;60.837615966796875;13.460636138916016;1.996302604675293;79.314750671386719;19.777149200439453;3.5521626472473145
B12;60.948051452636719;18.567770004272461;5.8366894721984863;79.519813537597656;26.852638244628906;9.1330289840698242
B13;78.4710693359375;-6.2161979675292969;-16.950439453125;96.053001403808594;-9.9677448272705078;-6.1142921447753906
B14;76.570846557617188;6.1332283020019531;-18.309520721435547;95.110748291015625;2.769768238067627;-7.248079776763916
B15;80.737930297851562;-2.4603605270385742;-4.3630361557006836;96.962738037109375;-2.2790431976318359;-2.459251880645752
B16;73.472259521484375;0.093370676040649414;-13.784623146057129;91.780776977539062;-1.536637544631958;-12.369573593139648
B17;76.132965087890625;5.6347551345825195;-10.120320320129395;93.717628479003906;5.6322517395019531;-9.1557025909423828
B18;78.90545654296875;-7.7025594711303711;-8.0052013397216797;94.93829345703125;-8.6386795043945312;-7.2195649147033691
B19;75.220191955566406;1.2951493263244629;-22.288726806640625;92.4945068359375;-3.7131309509277344;-11.334980010986328
B20;23.142009735107422;7.9849810600280762;-1.0730385780334473;22.493030548095703;20.855470657348633;-1.6417205333709717
B21;29.176715850830078;24.279550552368164;7.9382362365722656;39.10888671875;49.886821746826172;26.371932983398438
B22;51.853172302246094;16.809345245361328;7.1763396263122559;66.336166381835938;22.744953155517578;11.467159271240234
C01;21.905941009521484;3.3187568187713623;-0.44612884521484375;19.333358764648438;8.7729988098144531;-1.4706611633300781
C02;24.177890777587891;4.7461390495300293;2.7989447116851807;24.602756500244141;13.314530372619629;9.1863212585449219
C03;25.645999908447266;6.5071730613708496;6.498110294342041;28.691390991210938;19.270389556884766;21.089214324951172
C04;26.477855682373047;6.6524448394775391;6.8814334869384766;30.6873779296875;19.47346305847168;22.159051895141602
C05;47.441364288330078;5.7958364486694336;6.2176108360290527;63.427055358886719;7.9661312103271484;10.976862907409668
C06;47.748561859130859;11.744350433349609;21.209413528442383;64.166519165039062;17.072259902954102;37.355850219726562
C07;47.817867279052734;17.696619033813477;34.386009216308594;65.457504272460938;26.402355194091797;60.867519378662109
C08;47.730258941650391;21.160961151123047;39.958892822265625;66.229400634765625;32.707542419433594;67.856254577636719
C09;65.136497497558594;2.4741291999816895;-3.9103984832763672;84.163124084472656;3.6791861057281494;-6.2657833099365234
